Day ,Pageviews
9/15/15,21938.00
9/16/15,19498.00
9/17/15,25581.00
9/18/15,22231.00
9/19/15,18339.00
9/20/15,21244.00
9/21/15,32687.00
9/22/15,29387.00
9/23/15,23924.00
9/24/15,26459.00
9/25/15,22717.00
